Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 63.0.3239.84,,2018-01-04 14:53:54,2018-01-04 14:56:06,"2m - 12,040s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 1,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:53:54,2018-01-04 14:54:35,"41,191s",FAILED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:53:55,2018-01-04 14:54:03,"8,267s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:03,2018-01-04 14:54:04,"1,612s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:54:04,2018-01-04 14:54:35,"30,978s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 2,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:54:35,2018-01-04 14:54:47,"11,608s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:35,2018-01-04 14:54:42,"7,012s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:42,2018-01-04 14:54:46,"3,284s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:54:46,2018-01-04 14:54:46,"0,543s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:54:46,2018-01-04 14:54:47,"0,760s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 3,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:54:47,2018-01-04 14:54:56,"9,272s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:47,2018-01-04 14:54:52,"4,751s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:52,2018-01-04 14:54:55,"3,301s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:54:55,2018-01-04 14:54:56,"0,540s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:54:56,2018-01-04 14:54:56,"0,674s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 4,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:54:56,2018-01-04 14:55:07,"10,801s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:54:56,2018-01-04 14:55:03,"6,273s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:03,2018-01-04 14:55:06,"3,312s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:55:06,2018-01-04 14:55:07,"0,544s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:55:07,2018-01-04 14:55:07,"0,666s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 5,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:55:07,2018-01-04 14:55:19,"11,592s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:07,2018-01-04 14:55:14,"6,233s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:14,2018-01-04 14:55:18,"4,159s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:55:18,2018-01-04 14:55:18,"0,538s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:55:18,2018-01-04 14:55:19,"0,650s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 6,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:55:19,2018-01-04 14:55:28,"9,458s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:19,2018-01-04 14:55:24,"4,916s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:24,2018-01-04 14:55:27,"3,328s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:55:27,2018-01-04 14:55:28,"0,537s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:55:28,2018-01-04 14:55:28,"0,669s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 7,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:55:28,2018-01-04 14:55:39,"10,682s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:28,2018-01-04 14:55:35,"6,231s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:35,2018-01-04 14:55:38,"3,233s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:55:38,2018-01-04 14:55:38,"0,543s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 14:55:38,2018-01-04 14:55:39,"0,670s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 8,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 14:55:39,2018-01-04 14:55:50,"10,820s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:39,2018-01-04 14:55:45,"6,188s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 14:55:45,2018-01-04 14:55:49,"3,375s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 14:55:49,2018-01-04 14:55:49,"0,540s",PASSED
