Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 63.0.3239.84,,2018-01-04 00:28:41,2018-01-04 00:30:25,"1m - 44,109s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 1,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:28:42,2018-01-04 00:28:56,"14,915s",FAILED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:28:42,2018-01-04 00:28:49,"7,139s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:28:49,2018-01-04 00:28:51,"1,717s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:28:51,2018-01-04 00:28:56,"5,668s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 2,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:28:57,2018-01-04 00:29:07,"10,868s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:28:57,2018-01-04 00:29:03,"6,520s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:03,2018-01-04 00:29:06,"3,017s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:06,2018-01-04 00:29:07,"0,557s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:07,2018-01-04 00:29:07,"0,765s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 3,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:07,2018-01-04 00:29:19,"11,365s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:07,2018-01-04 00:29:13,"6,028s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:13,2018-01-04 00:29:18,"4,547s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:18,2018-01-04 00:29:18,"0,033s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:18,2018-01-04 00:29:19,"0,750s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 4,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:19,2018-01-04 00:29:30,"10,858s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:19,2018-01-04 00:29:25,"5,893s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:25,2018-01-04 00:29:28,"3,674s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:28,2018-01-04 00:29:29,"0,544s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:29,2018-01-04 00:29:30,"0,740s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 5,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:30,2018-01-04 00:29:41,"10,747s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:30,2018-01-04 00:29:36,"6,250s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:36,2018-01-04 00:29:39,"3,175s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:39,2018-01-04 00:29:40,"0,557s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:40,2018-01-04 00:29:41,"0,757s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 6,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:41,2018-01-04 00:29:50,"9,066s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:41,2018-01-04 00:29:45,"4,702s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:45,2018-01-04 00:29:49,"3,567s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:49,2018-01-04 00:29:49,"0,059s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:49,2018-01-04 00:29:50,"0,730s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 7,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:50,2018-01-04 00:29:59,"9,356s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:50,2018-01-04 00:29:55,"4,809s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:55,2018-01-04 00:29:58,"3,774s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:29:58,2018-01-04 00:29:58,"0,036s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:29:58,2018-01-04 00:29:59,"0,731s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 8,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 00:29:59,2018-01-04 00:30:10,"10,543s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:29:59,2018-01-04 00:30:05,"6,175s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 00:30:05,2018-01-04 00:30:08,"3,059s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 00:30:08,2018-01-04 00:30:09,"0,550s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 00:30:09,2018-01-04 00:30:10,"0,753s",PASSED
,,,,,,
